trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPLUC2512211b67790e,2025-12-21,UP01,new,6,80,8,8
TRPMYS25122167b9d073,2025-12-21,KA01,repeated,25,285,7,8
TRPCHA2512219cc61991,2025-12-21,CH01,new,31,305,10,7
TRPJAI2512212ad1dad6,2025-12-21,RJ01,new,32,421,10,9
TRPKOC25122129dc8ca3,2025-12-21,KL01,repeated,17,218,7,9
TRPSUR2512210dfeb0bf,2025-12-21,GJ01,repeated,16,147,6,8
TRPVAD2512216b0fa829,2025-12-21,GJ02,new,10,98,9,8
TRPIND2512211236194a,2025-12-21,MP01,repeated,12,119,9,7
TRPLUC251221ae5ff9ff,2025-12-21,UP01,repeated,10,116,6,8
TRPMYS251221d78b3540,2025-12-21,KA01,new,14,175,9,8
TRPLUC2512215bc360ca,2025-12-21,UP01,repeated,12,134,5,7
TRPKOC251221b47cdb58,2025-12-21,KL01,repeated,30,361,8,9
TRPLUC251221f9dbd6a0,2025-12-21,UP01,repeated,5,71,7,8
TRPJAI251221fba682b1,2025-12-21,RJ01,new,38,493,10,10
TRPSUR251221da75aee8,2025-12-21,GJ01,repeated,9,91,7,7
TRPKOC251221f079ede1,2025-12-21,KL01,new,28,339,8,8
TRPIND251221ac957a8f,2025-12-21,MP01,new,14,135,9,7
TRPCHA251221d20ef286,2025-12-21,CH01,new,29,287,7,8
TRPVIS2512213aafeb11,2025-12-21,AP01,new,35,342,10,8
TRPCOI25122115058f37,2025-12-21,TN01,repeated,12,119,6,7
TRPSUR25122153621651,2025-12-21,GJ01,repeated,17,155,7,7
TRPIND251221092044c4,2025-12-21,MP01,repeated,19,175,8,7
TRPIND2512211e984014,2025-12-21,MP01,repeated,23,207,7,7
TRPSUR251221533362ea,2025-12-21,GJ01,repeated,16,147,7,8
TRPSUR251221de00e05a,2025-12-21,GJ01,repeated,11,107,6,6
TRPSUR251221cf66c0fd,2025-12-21,GJ01,repeated,8,83,7,6
TRPIND2512215a6df2e2,2025-12-21,MP01,new,18,167,7,9
TRPJAI2512211bfc0a38,2025-12-21,RJ01,repeated,24,325,8,10
TRPVAD2512218403e3cb,2025-12-21,GJ02,new,5,58,7,7
TRPCOI251221cbf0d94b,2025-12-21,TN01,repeated,8,87,9,8
TRPVAD2512217b6238a4,2025-12-21,GJ02,repeated,10,98,7,6
TRPKOC251221c1de58a2,2025-12-21,KL01,new,18,229,10,10
TRPCOI251221502b818d,2025-12-21,TN01,repeated,16,151,8,6
TRPVAD2512213cf846a1,2025-12-21,GJ02,repeated,12,114,7,7
TRPJAI251221df8fbca2,2025-12-21,RJ01,new,30,397,10,10
TRPVIS251221f2f96336,2025-12-21,AP01,repeated,20,207,7,9
