trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPJAI25122661efe07b,2025-12-26,RJ01,repeated,35,457,7,8
TRPVAD251226292257be,2025-12-26,GJ02,new,5,58,8,6
TRPSUR2512268f64e978,2025-12-26,GJ01,repeated,9,91,5,7
TRPJAI251226b41c2a0d,2025-12-26,RJ01,repeated,16,229,9,10
TRPCHA251226eda820f1,2025-12-26,CH01,repeated,23,233,6,8
TRPVAD25122616af6a74,2025-12-26,GJ02,repeated,11,106,7,5
TRPIND2512266708ff75,2025-12-26,MP01,repeated,19,175,9,8
TRPCOI25122694a78970,2025-12-26,TN01,repeated,9,95,6,8
TRPCHA25122647aba2a1,2025-12-26,CH01,new,15,161,10,8
TRPJAI25122659146b27,2025-12-26,RJ01,repeated,34,445,7,8
TRPSUR2512266fb55152,2025-12-26,GJ01,repeated,8,83,7,7
TRPJAI2512261ff0a024,2025-12-26,RJ01,repeated,32,421,7,10
TRPLUC25122691eeb9f9,2025-12-26,UP01,repeated,8,98,6,5
TRPIND2512260ec1e09c,2025-12-26,MP01,new,11,111,10,7
TRPIND251226243cd28e,2025-12-26,MP01,repeated,9,95,9,7
TRPLUC2512261197b215,2025-12-26,UP01,repeated,14,152,6,7
TRPLUC251226540308a4,2025-12-26,UP01,repeated,8,98,5,5
TRPCOI2512266d02ead2,2025-12-26,TN01,repeated,20,183,6,7
TRPVIS251226b655b038,2025-12-26,AP01,repeated,31,306,7,8
TRPMYS251226cb99b1e3,2025-12-26,KA01,new,24,275,9,8
TRPVAD251226b4dd2c28,2025-12-26,GJ02,repeated,7,74,7,7
TRPLUC251226b4b5aded,2025-12-26,UP01,repeated,19,197,7,8
TRPVAD2512267a379f00,2025-12-26,GJ02,repeated,11,106,7,5
TRPKOC2512265530d2ca,2025-12-26,KL01,repeated,33,394,7,10
TRPLUC25122680f1ec35,2025-12-26,UP01,new,13,143,7,8
TRPSUR25122691efb367,2025-12-26,GJ01,repeated,13,123,7,6
TRPCOI25122629ab65c4,2025-12-26,TN01,repeated,18,167,9,9
TRPVIS2512261b67f19a,2025-12-26,AP01,repeated,32,315,7,10
TRPLUC251226ecfffb36,2025-12-26,UP01,new,16,170,9,7
TRPLUC251226b4cef19d,2025-12-26,UP01,repeated,18,188,6,8
TRPVIS25122649c04752,2025-12-26,AP01,repeated,28,279,7,9
TRPVAD25122625da4417,2025-12-26,GJ02,repeated,11,106,7,7
TRPCOI251226c8bb69fe,2025-12-26,TN01,repeated,13,127,7,7
TRPCOI251226a7290e9a,2025-12-26,TN01,new,15,143,9,9
TRPLUC251226b53ab6a9,2025-12-26,UP01,repeated,11,125,5,7
TRPLUC25122664297b14,2025-12-26,UP01,repeated,6,80,6,5
TRPKOC2512266e38abe3,2025-12-26,KL01,repeated,23,284,9,10
TRPVAD2512263d7d1246,2025-12-26,GJ02,repeated,17,154,6,7
